18,BAR,8,5,13
18,BEL,82,6,88
18,BEN,3,-,3
18,BER,9,-,9
18,BIZ,1,-,1
18,BOL,11,-,11
18,BRA,78,3,81
18,BUL,106,24,130
18,BUR,1,-,1
18,CAM,8,1,9
18,CAN,158,50,208
18,CGO,6,-,6
18,CHA,4,-,4
18,CHI,9,2,11
18,CIV,11,-,11
18,CMR,11,-,11
18,COL,55,4,59
18,CRC,3,-,3
18,CUB,109,28,137
18,DEN,114,12,126
18,DOM,5,-,5
18,ECU,2,-,2
18,EGY,23,-,23
18,ESA,11,-,11
18,ESP,118,5,123
18,ETH,31,-,31
18,FIJ,2,-,2
18,FIN,89,7,96
18,FRA,197,30,227
18,FRG,341,83,424
18,GAB,1,-,1
18,GBR,210,74,284
18,GDR,231,66,297
18,GHA,33,2,35
18,GRE,58,2,60
18,GUA,8,-,8
18,GUY,3,-,3
18,HAI,6,1,7
18,HKG,10,-,10
18,HUN,187,45,232
18,INA,3,3,6
18,IND,40,1,41
18,IRI,48,-,48
18,IRL,51,8,59
18,ISL,24,1,25
18,ISR,12,2,14
18,ISV,16,-,16
18,ITA,197,27,224
18,JAM,21,12,33
18,JPN,148,36,184
18,KEN,55,2,57
18,KOR,32,10,42
18,KSA,10,-,10
18,KUW,4,-,4
18,LBN,17,2,19
18,LBR,5,-,5
18,LES,1,-,1
18,LIE,6,-,6
18,LUX,10,1,11
18,MAD,11,-,11
18,MAR,33,2,35
18,MAS,42,3,45
18,MAW,13,3,16
18,MEX,152,22,174
18,MGL,37,2,39
18,MLI,3,-,3
18,MLT,5,-,5
18,MON,5,-,5
18,MYA,18,-,18
18,NCA,7,1,8
18,NED,90,29,119
18,NEP,2,-,2
18,NGR,20,5,25
18,NIG,4,-,4
18,NOR,101,11,112
18,NZL,82,7,89
18,PAK,25,-,25
18,PAN,7,-,7
18,PAR,3,-,3
18,PER,17,3,20
18,PHI,48,5,53
18,POL,252,38,290
18,POR,29,-,29
18,PRK,23,14,37
18,PUR,53,-,53
18,ROU,132,27,159
18,SEN,38,-,38
18,SGP,5,2,7
18,SMR,7,-,7
18,SOM,3,-,3
18,SRI,4,-,4
18,SUD,26,-,26
18,SUI,122,29,151
18,SUR,2,-,2
18,SWE,104,27,131
18,SWZ,2,-,2
18,SYR,4,1,5
18,TAN,15,-,15
18,TCH,145,36,181
18,THA,33,-,33
18,TOG,7,-,7
18,TPE,15,6,21
18,TTO,18,1,19
18,TUN,35,-,35
18,TUR,42,1,43
18,UGA,31,2,33
18,URS,298,73,371
18,URU,10,3,13
18,USA,316,84,400
18,VEN,20,3,23
18,VNM,1,1,2
18,YUG,113,13,126
18,ZAM,8,3,11
19,AHO,4,-,4
19,AND,3,-,3
19,ANT,10,-,10
19,ARG,65,4,69
19,AUS,146,34,180
19,AUT,54,6,60
19,BAH,10,1,11
19,BAR,9,2,11
19,BEL,75,26,101
19,BER,15,1,16
19,BIZ,4,-,4
19,BOL,4,-,4
19,BRA,72,7,79
19,BUL,105,53,158
19,CAN,261,124,385
19,CAY,2,-,2
19,CHI,7,-,7
19,CIV,7,1,8
19,CMR,4,-,4
19,COL,32,3,35
19,CRC,4,1,5
19,CUB,132,24,156
19,DEN,56,10,66
19,DOM,9,1,10
19,ECU,5,-,5
19,EGY,26,-,26
19,ESP,103,10,113
19,FIJ,1,1,2
19,FIN,77,6,83
19,FRA,177,29,206
19,FRG,233,57,290
19,GBR,176,66,242
19,GDR,154,113,267
19,GRE,34,2,36
19,GUA,26,2,28
19,HAI,10,3,13
19,HKG,23,2,25
19,HON,3,-,3
19,HUN,124,54,178
19,INA,5,2,7
19,IND,26,-,26
19,IRI,80,4,84
19,IRL,41,3,44
19,ISL,9,4,13
19,ISR,24,2,26
19,ISV,19,2,21
19,ITA,183,27,210
19,JAM,11,9,20
19,JPN,153,60,213
19,KOR,38,12,50
19,KSA,14,-,14
19,KUW,15,-,15
19,LBN,3,-,3
19,LIE,4,2,6
19,LUX,8,-,8
19,MAR,9,-,9
19,MAS,23,-,23
19,MEX,92,5,97
19,MGL,30,2,32
19,MON,8,-,8
19,NCA,15,-,15
19,NED,72,36,108
19,NEP,1,-,1
19,NOR,60,6,66
19,NZL,71,9,80
19,PAK,24,-,24
19,PAN,7,1,8
19,PAR,4,-,4
19,PER,-,13,13
19,PHI,13,1,14
19,PNG,6,-,6
19,POL,180,27,207
19,POR,19,-,19
19,PRK,36,2,38
19,PUR,73,7,80
19,ROU,103,54,157
19,SEN,19,2,21
19,SGP,3,1,4
19,SMR,8,2,10
19,SUI,47,3,50
19,SUR,3,-,3
19,SWE,99,17,116
19,TCH,125,38,163
19,THA,39,3,42
19,TTO,13,-,13
19,TUN,14,1,15
19,TUR,26,1,27
19,URS,285,125,410
19,URU,7,2,9
19,USA,278,118,396
19,VEN,23,9,32
19,YUG,83,5,88
20,AFG,11,-,11
20,ALG,54,-,54
20,AND,2,-,2
20,ANG,10,1,11
20,AUS,92,28,120
20,AUT,64,19,83
20,BEL,43,16,59
20,BEN,15,1,16
20,BOT,7,-,7
20,BRA,91,15,106
20,BUL,183,88,271
20,CGO,9,14,23
20,CMR,22,3,25
20,COL,23,-,23
20,CRC,28,1,29
20,CUB,174,33,207
20,CYP,12,2,14
20,DEN,55,3,58
20,DOM,5,1,6
20,ECU,11,1,12
20,ESP,146,9,155
20,ETH,39,2,41
20,FIN,99,6,105
20,FRA,98,23,121
20,GBR,149,70,219
20,GDR,222,124,346
20,GRE,38,3,41
20,GUA,10,-,10
20,GUI,9,-,9
20,GUY,7,1,8
20,HUN,182,81,263
20,IND,56,16,72
20,IRL,44,3,47
20,IRQ,43,-,43
20,ISL,9,-,9
20,ITA,121,38,159
20,JAM,11,7,18
20,JOR,4,-,4
20,KUW,56,-,56
20,LAO,17,2,19
20,LBA,27,2,29
20,LBN,15,-,15
20,LES,5,-,5
20,LUX,3,-,3
20,MAD,8,3,11
20,MEX,36,9,45
20,MGL,39,4,43
20,MLI,6,1,7
20,MLT,7,1,8
20,MOZ,12,2,14
20,MYA,2,-,2
20,NCA,3,2,5
20,NED,57,18,75
20,NEP,10,-,10
20,NGR,38,6,44
20,NZL,4,-,4
20,PER,14,14,28
20,POL,232,74,306
20,POR,10,1,11
20,PRK,39,8,47
20,PUR,3,-,3
20,ROU,156,70,226
20,SEN,30,2,32
20,SEY,9,2,11
20,SLE,12,2,14
20,SMR,16,-,16
20,SRI,4,-,4
20,SUI,67,6,73
20,SWE,122,23,145
20,SYR,65,2,67
20,TAN,36,5,41
20,TCH,161,47,208
20,TTO,9,-,9
20,UGA,13,-,13
20,URS,340,149,489
20,VEN,37,-,37
20,VIE,22,8,30
20,YUG,136,28,164
20,ZAM,37,-,37
20,ZIM,23,19,42
21,AHO,3,5,8
21,ALG,33,-,33
21,AND,2,-,2
21,ANT,10,4,14
21,ARG,71,10,81
21,AUS,169,73,242
21,AUT,72,31,103
21,BAH,17,5,22
21,BAN,1,-,1
21,BAR,13,3,16
21,BEL,47,16,63
21,BEN,3,-,3
21,BER,11,1,12
21,BHU,3,3,6
21,BIZ,11,-,11
21,BOL,10,1,11
21,BOT,7,-,7
21,BRA,126,21,147
21,BRN,10,-,10
21,CAF,3,-,3
21,CAN,257,151,408
21,CAY,7,1,8
21,CGO,8,1,9
21,CHA,3,-,3
21,CHI,50,2,52
21,CHN,132,83,215
21,CIV,14,1,15
21,CMR,42,4,46
21,COD,7,1,8
21,COL,36,3,39
21,CRC,27,1,28
21,CYP,10,-,10
21,DEN,49,11,60
21,DJI,3,-,3
21,DOM,15,4,19
21,ECU,10,1,11
21,EGY,108,6,114
21,ESA,9,1,10
21,ESP,163,16,179
21,FIJ,11,3,14
21,FIN,73,13,86
21,FRA,189,49,238
21,FRG,268,123,391
21,GAB,2,2,4
21,GAM,6,4,10
21,GBR,229,108,337
21,GEQ,4,-,4
21,GHA,14,7,21
21,GRE,59,4,63
21,GRN,5,1,6
21,GUA,20,4,24
21,GUI,1,-,1
21,GUY,8,2,10
21,HAI,1,2,3
21,HKG,36,11,47
21,HON,7,3,10
21,INA,13,3,16
21,IND,42,6,48
21,IRL,28,14,42
21,IRQ,23,-,23
21,ISL,27,3,30
21,ISR,24,8,32
21,ISV,26,3,29
21,ITA,222,46,268
21,IVB,9,-,9
21,JAM,31,14,45
21,JOR,12,1,13
21,JPN,174,52,226
21,KEN,56,5,61
21,KOR,116,59,175
21,KSA,37,-,37
21,KUW,23,-,23
21,LBN,21,1,22
21,LBR,6,1,7
21,LES,4,-,4
21,LIE,5,2,7
21,LUX,4,1,5
21,MAD,5,-,5
21,MAR,33,1,34
21,MAS,20,1,21
21,MAW,15,-,15
21,MEX,77,22,99
21,MLI,4,-,4
21,MLT,5,2,7
21,MON,8,-,8
21,MOZ,8,1,9
